"","Gene","Chromosome"
"5964","ACAD9","chr3"
"5965","GOLIM4","chr3"
"5966","LAMP3","chr3"
"5967","EIF4A2","chr3"
"5968","LRRC66","chr4"
"5969","SLC39A8","chr4"
"5970","TBC1D9","chr4"
"5971","PCDHB6","chr5"
"5972","PPP2R2B","chr5"
"5973","RARS1","chr5"
"5974","TMED4","chr7"
"5975","BAZ1B","chr7"
"5976","GIGYF1","chr7"
"5977","ASB15","chr7"
"5978","TRBV20-1","chr7"
"5979","KCNH2","chr7"
"5980","TATDN1","chr8"
"5981","PARP10","chr8"
"5982","ZNF16","chr8"
"5983","KDM4C","chr9"
"5984","MSANTD3","chr9"
"5985","GPR107","chr9"
"5986","LARP4B","chr10"
"5987","TASOR2","chr10"
"5988","LRRTM3","chr10"
"5989","SIGIRR","chr11"
"5990","OR4C13","chr11"
"5991","OR5F1","chr11"
"5992","TMX2","chr11"
"5993","MMP27","chr11"
"5994","ARCN1","chr11"
"5995","ADAMTS8","chr11"
"5996","OPCML","chr11"
"5997","B4GALNT3","chr12"
"5998","SYT10","chr12"
"5999","RACGAP1","chr12"
"6000","UHRF1BP1L","chr12"
"6001","PHETA1","chr12"
"6002","PRKAB1","chr12"
"6003","RSRC2","chr12"
"6004","POLR1D","chr13"
"6005","RFXAP","chr13"
"6006","STOML3","chr13"
"6007","GTF2F2","chr13"
"6008","PROZ","chr13"
"6009","ESR2","chr14"
"6010","CDAN1","chr15"
"6011","USP8","chr15"
"6012","ZFAND6","chr15"
"6013","PRC1","chr15"
"6014","TIGD7","chr16"
"6015","ACSM3","chr16"
"6016","SETD1A","chr16"
"6017","APRT","chr16"
"6018","CCDC144A","chr17"
"6019","FOXN1","chr17"
"6020","KRT35","chr17"
"6021","SNF8","chr17"
"6022","SPATA20","chr17"
"6023","BRIP1","chr17"
"6024","CCDC47","chr17"
"6025","CYBC1","chr17"
"6026","DSC1","chr18"
"6027","SMAD7","chr18"
"6028","ZCCHC2","chr18"
"6029","REXO1","chr19"
"6030","ZNF699","chr19"
"6031","IL27RA","chr19"
"6032","ZNF780B","chr19"
"6033","HIPK4","chr19"
"6034","ZNF526","chr19"
"6035","SYMPK","chr19"
"6036","LILRB3","chr19"
"6037","LILRA6","chr19"
"6038","ZNF667","chr19"
"6039","ZIM3","chr19"
"6040","CENPB","chr20"
"6041","BFSP1","chr20"
"6042","ABHD12","chr20"
"6043","EPPIN","chr20"
"6044","DONSON","chr21"
"6045","GAS2L1","chr22"
"6046","NAGA","chr22"
"6047","FAM120C","chrX"
"6048","NLGN3","chrX"
"6049","RPS4X","chrX"
"6050","AL353804.4","chrX"
"6051","ZCCHC13","chrX"
"6052","IGSF1","chrX"
"6053","CNR2","chr1"
"6054","AZIN2","chr1"
"6055","TRIT1","chr1"
"6056","ST3GAL3","chr1"
"6057","CZIB","chr1"
"6058","GLIS1","chr1"
"6059","FAM151A","chr1"
"6060","LRRC8B","chr1"
"6061","RUSC1","chr1"
"6062","TOMM40L","chr1"
"6063","CCDC190","chr1"
"6064","SEC16B","chr1"
"6065","NIBAN1","chr1"
"6066","ELF3","chr1"
"6067","URB2","chr1"
"6068","AGT","chr1"
"6069","TARBP1","chr1"
"6070","RBM34","chr1"
"6071","OR2L3","chr1"
"6072","DPY30","chr2"
"6073","BIRC6","chr2"
"6074","FIGLA","chr2"
"6075","MAT2A","chr2"
"6076","WDR33","chr2"
"6077","AMMECR1L","chr2"
"6078","EPC2","chr2"
"6079","PKP4","chr2"
"6080","DPP4","chr2"
"6081","PDK1","chr2"
"6082","SESTD1","chr2"
"6083","INHA","chr2"
"6084","EPHA4","chr2"
"6085","FANCD2","chr3"
"6086","RBSN","chr3"
"6087","ZNF35","chr3"
"6088","KIF9","chr3"
"6089","PLXNB1","chr3"
"6090","P4HTM","chr3"
"6091","RBM5","chr3"
"6092","PXYLP1","chr3"
"6093","YEATS2","chr3"
"6094","LIPH","chr3"
"6095","ATP13A3","chr3"
"6096","SH3TC1","chr4"
"6097","ETNPPL","chr4"
"6098","ELMOD2","chr4"
"6099","MAB21L2","chr4"
"6100","KLHL2","chr4"
"6101","SPATA4","chr4"
"6102","PRLR","chr5"
"6103","PARP8","chr5"
"6104","FST","chr5"
"6105","TAF9","chr5"
"6106","SERINC5","chr5"
"6107","TUBB2A","chr6"
"6108","PRPF4B","chr6"
"6109","PAK1IP1","chr6"
"6110","H1-2","chr6"
"6111","PSORS1C1","chr6"
"6112","HLA-DRA","chr6"
"6113","CNPY3","chr6"
"6114","RTN4IP1","chr6"
"6115","RNF217","chr6"
"6116","MAP7","chr6"
"6117","TFB1M","chr6"
"6118","AFDN","chr6"
"6119","PRKAR1B","chr7"
"6120","AGR3","chr7"
"6121","ZNF273","chr7"
"6122","CPSF4","chr7"
"6123","LRRC17","chr7"
"6124","SLC26A4","chr7"
"6125","TMEM209","chr7"
"6126","ZNF596","chr8"
"6127","NSMAF","chr8"
"6128","ZC2HC1A","chr8"
"6129","ZHX2","chr8"
"6130","ATAD2","chr8"
"6131","PSIP1","chr9"
"6132","SHC3","chr9"
"6133","FAM102A","chr9"
"6134","SEC61A2","chr10"
"6135","APBB1IP","chr10"
"6136","BAG3","chr10"
"6137","EPS8L2","chr11"
"6138","RBMXL2","chr11"
"6139","CKAP5","chr11"
"6140","GLYATL2","chr11"
"6141","PRPF19","chr11"
"6142","RASGRP2","chr11"
"6143","AP000769.3","chr11"
"6144","SSH3","chr11"
"6145","ANO1","chr11"
"6146","DDI1","chr11"
"6147","SIK2","chr11"
"6148","ZPR1","chr11"
"6149","ST3GAL4","chr11"
"6150","PRH1","chr12"
"6151","TAS2R20","chr12"
"6152","ENDOU","chr12"
"6153","ATF7","chr12"
"6154","SART3","chr12"
"6155","FAM216A","chr12"
"6156","HNF1A","chr12"
"6157","CPB2","chr13"
"6158","OR4M1","chr14"
"6159","TRAJ57","chr14"
"6160","RIPK3","chr14"
"6161","G2E3","chr14"
"6162","NFKBIA","chr14"
"6163","IGHV4-34","chr14"
"6164","BAHD1","chr15"
"6165","PLA2G4F","chr15"
"6166","SIN3A","chr15"
"6167","FSD2","chr15"
"6168","ZNF710","chr15"
"6169","ALDH1A3","chr15"
"6170","TBL3","chr16"
"6171","AC093525.2","chr16"
"6172","PRSS27","chr16"
"6173","ZSCAN10","chr16"
"6174","ACSM2B","chr16"
"6175","LYRM1","chr16"
"6176","MAZ","chr16"
"6177","BCKDK","chr16"
"6178","CETP","chr16"
"6179","LCAT","chr16"
"6180","DBNDD1","chr16"
"6181","INCA1","chr17"
"6182","CHRNB1","chr17"
"6183","ALOX15B","chr17"
"6184","FAM83G","chr17"
"6185","KCNJ12","chr17"
"6186","ZNF207","chr17"
"6187","MYO1D","chr17"
"6188","TMEM132E","chr17"
"6189","CCL3L3","chr17"
"6190","TBC1D3F","chr17"
"6191","KRT23","chr17"
"6192","NFE2L1","chr17"
"6193","EME1","chr17"
"6194","AKAP1","chr17"
"6195","PPM1E","chr17"
"6196","AMZ2","chr17"
"6197","NAT9","chr17"
"6198","PSMA8","chr18"
"6199","RBFA","chr18"
"6200","ARHGAP45","chr19"
"6201","MPND","chr19"
"6202","ZNF557","chr19"
"6203","ZNF358","chr19"
"6204","ELAVL1","chr19"
"6205","PRKCSH","chr19"
"6206","OCEL1","chr19"
"6207","IQCN","chr19"
"6208","ZNF430","chr19"
"6209","ZNF493","chr19"
"6210","ZNF565","chr19"
"6211","ZNF585A","chr19"
"6212","ZNF780A","chr19"
"6213","BLVRB","chr19"
"6214","CD79A","chr19"
"6215","BCAT2","chr19"
"6216","IRF3","chr19"
"6217","PNKP","chr19"
"6218","STK35","chr20"
"6219","TOMM34","chr20"
"6220","STAU1","chr20"
"6221","PRPF6","chr20"
"6222","USP25","chr21"
"6223","TRAPPC10","chr21"
"6224","XBP1","chr22"
"6225","CSNK1E","chr22"
"6226","DDX17","chr22"
"6227","PNPLA5","chr22"
"6228","GTSE1","chr22"
"6229","SBF1","chr22"
"6230","ZBED1","chrX"
"6231","TXLNG","chrX"
"6232","PJA1","chrX"
"6233","NOX1","chrX"
"6234","EVI5","chr1"
"6235","TUFT1","chr1"
"6236","CRNN","chr1"
"6237","PEX19","chr1"
"6238","MXD1","chr2"
"6239","CAMP","chr3"
"6240","GYG1","chr3"
"6241","DGKG","chr3"
"6242","UBXN7","chr3"
"6243","UGT2B11","chr4"
"6244","PCDHA5","chr5"
"6245","CARMIL1","chr6"
"6246","C6orf136","chr6"
"6247","EPHA7","chr6"
"6248","FIG4","chr6"
"6249","SLC22A16","chr6"
"6250","SF3B5","chr6"
"6251","LATS1","chr6"
"6252","EEPD1","chr7"
"6253","CCM2","chr7"
"6254","CDK6","chr7"
"6255","YWHAZ","chr8"
"6256","ZC3H3","chr8"
"6257","PMPCA","chr9"
"6258","GDF2","chr10"
"6259","LRRC18","chr10"
"6260","LBHD1","chr11"
"6261","CFL1","chr11"
"6262","ROBO4","chr11"
"6263","PTGES3","chr12"
"6264","YEATS4","chr12"
"6265","ANKS1B","chr12"
"6266","SFSWAP","chr12"
"6267","NBEA","chr13"
"6268","DLK1","chr14"
"6269","DUOXA2","chr15"
"6270","CRYM-AS1","chr16"
"6271","CDH15","chr16"
"6272","SLC25A35","chr17"
"6273","LGALS9B","chr17"
"6274","PIGS","chr17"
"6275","HGS","chr17"
"6276","TYMS","chr18"
"6277","SCN1B","chr19"
"6278","FBXO46","chr19"
"6279","HSPA12B","chr20"
"6280","ASXL1","chr20"
"6281","ZNF217","chr20"
"6282","TUBGCP6","chr22"
"6283","TFE3","chrX"
"6284","TAS1R3","chr1"
"6285","MRPL20","chr1"
"6286","ACOT7","chr1"
"6287","PRAMEF18","chr1"
"6288","RSC1A1","chr1"
"6289","SPEN","chr1"
"6290","ZBTB17","chr1"
"6291","ZNF436","chr1"
"6292","GRIK3","chr1"
"6293","BMP8A","chr1"
"6294","PABPC4","chr1"
"6295","CYP4A11","chr1"
"6296","ZYG11B","chr1"
"6297","DNAJC6","chr1"
"6298","IFI44L","chr1"
"6299","CLCA2","chr1"
"6300","PKN2","chr1"
"6301","RBMXL1","chr1"
"6302","DDX20","chr1"
"6303","OTUD7B","chr1"
"6304","LYSMD1","chr1"
"6305","MSTO1","chr1"
"6306","INSRR","chr1"
"6307","OR10J3","chr1"
"6308","DEDD","chr1"
"6309","RNASEL","chr1"
"6310","ARPC5","chr1"
"6311","TPR","chr1"
"6312","FLVCR1","chr1"
"6313","TP53BP2","chr1"
"6314","EGLN1","chr1"
"6315","OR2B11","chr1"
"6316","KCNF1","chr2"
"6317","NT5C1B","chr2"
"6318","DRC1","chr2"
"6319","SPAST","chr2"
"6320","VIT","chr2"
"6321","CLHC1","chr2"
"6322","KCMF1","chr2"
"6323","SLC20A1","chr2"
"6324","CWC22","chr2"
"6325","STAT4","chr2"
"6326","COQ10B","chr2"
"6327","USP40","chr2"
"6328","HACL1","chr3"
"6329","PLCL2","chr3"
"6330","DCLK3","chr3"
"6331","WDR48","chr3"
"6332","ZNF197","chr3"
"6333","UQCRC1","chr3"
"6334","SLC25A20","chr3"
"6335","DALRD3","chr3"
"6336","QRICH1","chr3"
"6337","ITIH4","chr3"
"6338","CCDC66","chr3"
"6339","ADGRG7","chr3"
"6340","GAP43","chr3"
"6341","UPK1B","chr3"
"6342","NDUFB4","chr3"
"6343","ROPN1","chr3"
"6344","UMPS","chr3"
"6345","RAB43","chr3"
"6346","DCUN1D1","chr3"
"6347","MCCC1","chr3"
"6348","PLAAT1","chr3"
"6349","PPP2R2C","chr4"
"6350","NSUN7","chr4"
"6351","NFXL1","chr4"
"6352","ADGRL3","chr4"
"6353","YTHDC1","chr4"
"6354","PPM1K","chr4"
"6355","MCUB","chr4"
"6356","SPATA5","chr4"
"6357","HSPA4L","chr4"
"6358","PLK4","chr4"
"6359","GATB","chr4"
"6360","VEGFC","chr4"
"6361","BRD9","chr5"
"6362","TERT","chr5"
"6363","ZNF622","chr5"
"6364","TTC23L","chr5"
"6365","LMBRD2","chr5"
"6366","ERBIN","chr5"
"6367","ZNF366","chr5"
"6368","FAM151B","chr5"
"6369","CHD1","chr5"
"6370","EPB41L4A","chr5"
"6371","SKP1","chr5"
"6372","LECT2","chr5"
"6373","HSPA9","chr5"
"6374","SLC4A9","chr5"
"6375","PCDHA13","chr5"
"6376","PCDHAC2","chr5"
"6377","PCDHGA12","chr5"
"6378","GRK6","chr5"
"6379","HNRNPAB","chr5"
"6380","DEK","chr6"
"6381","ZFP57","chr6"
"6382","TRIM15","chr6"
"6383","PPP1R10","chr6"
"6384","DNPH1","chr6"
"6385","DEFB112","chr6"
"6386","TFAP2D","chr6"
"6387","FAM184A","chr6"
"6388","L3MBTL3","chr6"
"6389","TNFAIP3","chr6"
"6390","FBXO30","chr6"
"6391","NUP43","chr6"
"6392","PLEKHG1","chr6"
"6393","SYNJ2","chr6"
"6394","RPS6KA2","chr6"
"6395","TNRC18","chr7"
"6396","STK31","chr7"
"6397","OSBPL3","chr7"
"6398","CYCS","chr7"
"6399","STAG3L4","chr7"
"6400","SPDYE5","chr7"
"6401","KMT2E","chr7"
"6402","CBLL1","chr7"
"6403","NDUFB2","chr7"
"6404","GIMAP1","chr7"
"6405","XKR6","chr8"
"6406","POLR3D","chr8"
"6407","BIN3","chr8"
"6408","CHMP7","chr8"
"6409","HMBOX1","chr8"
"6410","TEX15","chr8"
"6411","HGSNAT","chr8"
"6412","CHCHD7","chr8"
"6413","CYP7A1","chr8"
"6414","CPA6","chr8"
"6415","CYRIB","chr8"
"6416","CYP11B1","chr8"
"6417","PUM3","chr9"
"6418","CA9","chr9"
"6419","FOXE1","chr9"
"6420","MVB12B","chr9"
"6421","FUBP3","chr9"
"6422","DNLZ","chr9"
"6423","FUT7","chr9"
"6424","DHTKD1","chr10"
"6425","TMEM236","chr10"
"6426","ZMIZ1","chr10"
"6427","SFTPA1","chr10"
"6428","KIF20B","chr10"
"6429","HTR7","chr10"
"6430","PPP1R3C","chr10"
"6431","MMS19","chr10"
"6432","OGA","chr10"
"6433","NOLC1","chr10"
"6434","ADRB1","chr10"
"6435","GRK5","chr10"
"6436","ABRAXAS2","chr10"
"6437","MUC2","chr11"
"6438","COPB1","chr11"
"6439","MED19","chr11"
"6440","PLAAT5","chr11"
"6441","OTUB1","chr11"
"6442","BRMS1","chr11"
"6443","PC","chr11"
"6444","CORO1B","chr11"
"6445","INPPL1","chr11"
"6446","RNF169","chr11"
"6447","CEP295","chr11"
"6448","BIRC2","chr11"
"6449","FOXR1","chr11"
"6450","MFRP","chr11"
"6451","THY1","chr11"
"6452","CLMP","chr11"
"6453","ITFG2","chr12"
"6454","KRT5","chr12"
"6455","AC023055.1","chr12"
"6456","SMARCC2","chr12"
"6457","TIMELESS","chr12"
"6458","CDK4","chr12"
"6459","LRRC10","chr12"
"6460","KCNMB4","chr12"
"6461","OSBPL8","chr12"
"6462","HSP90B1","chr12"
"6463","MLEC","chr12"
"6464","BCL7A","chr12"
"6465","RFC3","chr13"
"6466","PROSER1","chr13"
"6467","VWA8","chr13"
"6468","FAM216B","chr13"
"6469","TDRD3","chr13"
"6470","OR4L1","chr14"
"6471","OR4K17","chr14"
"6472","GEMIN2","chr14"
"6473","TMEM260","chr14"
"6474","RDH11","chr14"
"6475","BTBD7","chr14"
"6476","SNORD116-7","chr15"
"6477","DLL4","chr15"
"6478","JMJD7-PLA2G4B","chr15"
"6479","MAP1A","chr15"
"6480","PDIA3","chr15"
"6481","SHF","chr15"
"6482","SLC27A2","chr15"
"6483","TNFAIP8L3","chr15"
"6484","ADAM10","chr15"
"6485","AAGAB","chr15"
"6486","LRRC49","chr15"
"6487","SEMA7A","chr15"
"6488","ADAMTSL3","chr15"
"6489","WDR24","chr16"
"6490","PDPK1","chr16"
"6491","GLIS2","chr16"
"6492","C16orf71","chr16"
"6493","PPL","chr16"
"6494","GRIN2A","chr16"
"6495","CD2BP2","chr16"
"6496","SEPTIN1","chr16"
"6497","CNOT1","chr16"
"6498","CDH11","chr16"
"6499","TAF1C","chr16"
"6500","CHRNE","chr17"
"6501","POLR2A","chr17"
"6502","NCOR1","chr17"
"6503","SEC14L1","chr17"
"6504","SYNGR2","chr17"
"6505","TK1","chr17"
"6506","EMILIN2","chr18"
"6507","CTAGE1","chr18"
"6508","RPL17","chr18"
"6509","SERPINB4","chr18"
"6510","SOCS6","chr18"
"6511","ZADH2","chr18"
"6512","MIDN","chr19"
"6513","SF3A2","chr19"
"6514","ZNF57","chr19"
"6515","GNA11","chr19"
"6516","STAP2","chr19"
"6517","SAFB","chr19"
"6518","CARM1","chr19"
"6519","SWSAP1","chr19"
"6520","DCAF15","chr19"
"6521","EPHX3","chr19"
"6522","WIZ","chr19"
"6523","CPAMD8","chr19"
"6524","CRLF1","chr19"
"6525","ZNF93","chr19"
"6526","ZNF626","chr19"
"6527","ZNF257","chr19"
"6528","ZNF98","chr19"
"6529","RAB4B","chr19"
"6530","IGFL4","chr19"
"6531","IGFL3","chr19"
"6532","HIF3A","chr19"
"6533","PPP1R15A","chr19"
"6534","NUCB1","chr19"
"6535","MYH14","chr19"
"6536","MIR518A2","chr19"
"6537","VSTM1","chr19"
"6538","KIR2DL4","chr19"
"6539","ZNF304","chr19"
"6540","RBCK1","chr20"
"6541","PYGB","chr20"
"6542","TM9SF4","chr20"
"6543","TRPC4AP","chr20"
"6544","NCOA3","chr20"
"6545","SPATA2","chr20"
"6546","CDH26","chr20"
"6547","NKAIN4","chr20"
"6548","KCNE1","chr21"
"6549","TSSK2","chr22"
"6550","GGT5","chr22"
"6551","HMOX1","chr22"
"6552","RANGAP1","chr22"
"6553","TTLL1","chr22"
"6554","TSPO","chr22"
"6555","NCAPH2","chr22"
"6556","CPT1B","chr22"
"6557","NAP1L3","chrX"
"6558","UBL4A","chrX"
"6559","RFC4","chr3"
"6560","DLG1","chr3"
"6561","NMBR","chr6"
"6562","SLC3A2","chr11"
"6563","KERA","chr12"
"6564","ST8SIA2","chr15"
"6565","PRSS54","chr16"
"6566","ELAVL3","chr19"
"6567","ZNF280B","chr22"
"6568","PIK3CD","chr1"
"6569","MYCL","chr1"
"6570","CDC20","chr1"
"6571","ZSWIM5","chr1"
"6572","DMBX1","chr1"
"6573","CACHD1","chr1"
"6574","SUCO","chr1"
"6575","EDEM3","chr1"
"6576","PROX1","chr1"
"6577","FBXO28","chr1"
"6578","MRPL55","chr1"
"6579","GGPS1","chr1"
"6580","OR2W3","chr1"
"6581","ADAM17","chr2"
"6582","STPG4","chr2"
"6583","SLC1A4","chr2"
"6584","IGKV2D-24","chr2"
"6585","ANAPC1","chr2"
"6586","MBD5","chr2"
"6587","ZNF385B","chr2"
"6588","CARF","chr2"
"6589","IKZF2","chr2"
"6590","ADAMTS9","chr3"
"6591","CD200R1L","chr3"
"6592","PLCH1","chr3"
"6593","LDB2","chr4"
"6594","TMPRSS11D","chr4"
"6595","DSPP","chr4"
"6596","PRSS12","chr4"
"6597","ROPN1L","chr5"
"6598","SLC17A4","chr6"
"6599","VWA7","chr6"
"6600","TSBP1","chr6"
"6601","UST","chr6"
"6602","KATNA1","chr6"
"6603","SNX8","chr7"
"6604","ITPRID1","chr7"
"6605","COA1","chr7"
"6606","CAMK2B","chr7"
"6607","ZNF92","chr7"
"6608","FZD1","chr7"
"6609","ASIC3","chr7"
"6610","MTMR7","chr8"
"6611","PSD3","chr8"
"6612","GINS4","chr8"
"6613","PRKDC","chr8"
"6614","ZFAND1","chr8"
"6615","TRPS1","chr8"
"6616","FOXD4L5","chr9"
"6617","LRSAM1","chr9"
"6618","CSTF2T","chr10"
"6619","ANXA7","chr10"
"6620","PLAU","chr10"
"6621","KAT6B","chr10"
"6622","MYOF","chr10"
"6623","TIMM10B","chr11"
"6624","MDK","chr11"
"6625","OR8I2","chr11"
"6626","OR4D6","chr11"
"6627","IGHMBP2","chr11"
"6628","NADSYN1","chr11"
"6629","IL18BP","chr11"
"6630","CCDC82","chr11"
"6631","ETV6","chr12"
"6632","GUCY2C","chr12"
"6633","AQP6","chr12"
"6634","ARHGAP9","chr12"
"6635","PHLDA1","chr12"
"6636","OAS3","chr12"
"6637","CIT","chr12"
"6638","TRAV25","chr14"
"6639","DHRS4L1","chr14"
"6640","DPF3","chr14"
"6641","JDP2","chr14"
"6642","PACS2","chr14"
"6643","RPAP1","chr15"
"6644","TP53BP1","chr15"
"6645","COMMD4","chr15"
"6646","CLUAP1","chr16"
"6647","HEATR3","chr16"
"6648","CES3","chr16"
"6649","GLOD4","chr17"
"6650","OR3A2","chr17"
"6651","PLD2","chr17"
"6652","KIF1C","chr17"
"6653","SLC5A10","chr17"
"6654","APOH","chr17"
"6655","MPPE1","chr18"
"6656","AZU1","chr19"
"6657","FAM174C","chr19"
"6658","CLEC4G","chr19"
"6659","ZNF43","chr19"
"6660","EGLN2","chr19"
"6661","CEACAM1","chr19"
"6662","MIR520B","chr19"
"6663","NFATC2","chr20"
"6664","ARFRP1","chr20"
"6665","KRTAP21-2","chr21"
"6666","RNF215","chr22"
"6667","KCNJ4","chr22"
"6668","TBL1X","chrX"
"6669","ALG13","chrX"
"6670","TRPC5","chrX"
"6671","GPR101","chrX"
"6672","PADI1","chr1"
"6673","RNF220","chr1"
"6674","USP1","chr1"
"6675","CLCA1","chr1"
"6676","H2AC20","chr1"
"6677","UAP1","chr1"
"6678","SLC19A2","chr1"
"6679","GREB1","chr2"
"6680","DDX1","chr2"
"6681","THADA","chr2"
"6682","IGKV3-15","chr2"
"6683","IGKV2D-29","chr2"
"6684","MGAT4A","chr2"
"6685","CCDC138","chr2"
"6686","STAM2","chr2"
"6687","AAMP","chr2"
"6688","TSEN2","chr3"
"6689","GALNT15","chr3"
"6690","DHX30","chr3"
"6691","RASSF1","chr3"
"6692","KBTBD8","chr3"
"6693","LMOD3","chr3"
"6694","BTLA","chr3"
"6695","TPRA1","chr3"
"6696","TP63","chr3"
"6697","P3H2","chr3"
"6698","C1QTNF7","chr4"
"6699","PRR27","chr4"
"6700","CDKL2","chr4"
"6701","ABRAXAS1","chr4"
"6702","ANKHD1-EIF4EBP3","chr5"
"6703","SLC36A3","chr5"
"6704","H2BC7","chr6"
"6705","MDC1","chr6"
"6706","LTB","chr6"
"6707","AGER","chr6"
"6708","OPN5","chr6"
"6709","GSTA5","chr6"
"6710","SLC17A5","chr6"
"6711","BCLAF1","chr6"
"6712","FKBP14","chr7"
"6713","H2AZ2","chr7"
"6714","TRIM24","chr7"
"6715","ARHGEF10","chr8"
"6716","DPYSL2","chr8"
"6717","SPAG1","chr8"
"6718","C8orf76","chr8"
"6719","TOP1MT","chr8"
"6720","GLIS3","chr9"
"6721","POLR1E","chr9"
"6722","CDK20","chr9"
"6723","SCAI","chr9"
"6724","RAPGEF1","chr9"
"6725","DPP7","chr9"
"6726","CARS1","chr11"
"6727","ARNTL","chr11"
"6728","MADD","chr11"
"6729","ZFP91","chr11"
"6730","CCDC83","chr11"
"6731","GRIA4","chr11"
"6732","NPAT","chr11"
"6733","OR6C3","chr12"
"6734","NUP107","chr12"
"6735","CPSF6","chr12"
"6736","RNF10","chr12"
"6737","USPL1","chr13"
"6738","LACC1","chr13"
"6739","MYO16","chr13"
"6740","TRAJ1","chr14"
"6741","MDP1","chr14"
"6742","AP4S1","chr14"
"6743","DNAAF2","chr14"
"6744","PLEKHH1","chr14"
"6745","EVL","chr14"
"6746","AMN","chr14"
"6747","RAD51","chr15"
"6748","TUBGCP4","chr15"
"6749","ABCA3","chr16"
"6750","REXO5","chr16"
"6751","TNRC6A","chr16"
"6752","AMFR","chr16"
"6753","NFAT5","chr16"
"6754","DHRS7B","chr17"
"6755","RHBDL3","chr17"
"6756","KRT27","chr17"
"6757","NKIRAS2","chr17"
"6758","SPPL2C","chr17"
"6759","NSF","chr17"
"6760","GDPD1","chr17"
"6761","ZNF750","chr17"
"6762","CFAP53","chr18"
"6763","ST8SIA3","chr18"
"6764","VPS4B","chr18"
"6765","PIAS4","chr19"
"6766","FSD1","chr19"
"6767","USHBP1","chr19"
"6768","GATAD2A","chr19"
"6769","ZNF681","chr19"
"6770","FXYD5","chr19"
"6771","ZNF345","chr19"
"6772","ZNF570","chr19"
"6773","SIGLEC7","chr19"
"6774","ZNF28","chr19"
"6775","PRNP","chr20"
"6776","VAPB","chr20"
"6777","PRDM15","chr21"
"6778","PTTG1IP","chr21"
"6779","DEPDC5","chr22"
"6780","RPGR","chrX"
"6781","MTMR8","chrX"
"6782","BRS3","chrX"
"6783","CRYBG2","chr1"
"6784","ZMYM6","chr1"
"6785","CDCP2","chr1"
"6786","LEPR","chr1"
"6787","WDR47","chr1"
"6788","AMPD2","chr1"
"6789","DENND2D","chr1"
"6790","PTPN22","chr1"
"6791","VPS72","chr1"
"6792","PI4KB","chr1"
"6793","SMG5","chr1"
"6794","PRRC2C","chr1"
"6795","ZNF692","chr1"
"6796","ASAP2","chr2"
"6797","SDC1","chr2"
"6798","ABHD1","chr2"
"6799","C2orf16","chr2"
"6800","EML4","chr2"
"6801","CHAC2","chr2"
"6802","ETAA1","chr2"
"6803","IL1R2","chr2"
"6804","SP5","chr2"
"6805","DCAF17","chr2"
"6806","USP37","chr2"
"6807","IRS1","chr2"
"6808","IQCA1","chr2"
"6809","ZNF501","chr3"
"6810","TGM4","chr3"
"6811","SETD2","chr3"
"6812","LAMB2","chr3"
"6813","IHO1","chr3"
"6814","EPHA6","chr3"
"6815","RIOX2","chr3"
"6816","POLQ","chr3"
"6817","PIK3R4","chr3"
"6818","TMEM108","chr3"
"6819","SRPRB","chr3"
"6820","ZIC1","chr3"
"6821","SLC2A2","chr3"
"6822","LPP","chr3"
"6823","CPZ","chr4"
"6824","CPEB2","chr4"
"6825","GBA3","chr4"
"6826","KLHL5","chr4"
"6827","SCLT1","chr4"
"6828","PDGFC","chr4"
"6829","SPOCK3","chr4"
"6830","RANBP3L","chr5"
"6831","PRKAA1","chr5"
"6832","NDUFAF2","chr5"
"6833","MBLAC2","chr5"
"6834","PHAX","chr5"
"6835","CYSTM1","chr5"
"6836","HARS1","chr5"
"6837","SLU7","chr5"
"6838","RAB24","chr5"
"6839","GMNN","chr6"
"6840","OR14J1","chr6"
"6841","PBX2","chr6"
"6842","XPO5","chr6"
"6843","MEP1A","chr6"
"6844","MCM3","chr6"
"6845","HCRTR2","chr6"
"6846","ANKRD6","chr6"
"6847","PRDM1","chr6"
"6848","RAET1G","chr6"
"6849","FRMD1","chr6"
"6850","HOXA13","chr7"
"6851","ZC3HAV1","chr7"
"6852","RAB11FIP1","chr8"
"6853","ESRP1","chr8"
"6854","TRIB1","chr8"
"6855","IFNW1","chr9"
"6856","IFNK","chr9"
"6857","AOPEP","chr9"
"6858","OR13C9","chr9"
"6859","RPL12","chr9"
"6860","MAMDC4","chr9"
"6861","CALML3","chr10"
"6862","USP6NL","chr10"
"6863","MPP7","chr10"
"6864","ZNF485","chr10"
"6865","C10orf53","chr10"
"6866","PANK1","chr10"
"6867","TM9SF3","chr10"
"6868","SCD","chr10"
"6869","FAM204A","chr10"
"6870","FRG2B","chr10"
"6871","MUC5AC","chr11"
"6872","OR51G1","chr11"
"6873","USP47","chr11"
"6874","SLC1A2","chr11"
"6875","STIP1","chr11"
"6876","DPF2","chr11"
"6877","PCF11","chr11"
"6878","JRKL","chr11"
"6879","ANGPTL5","chr11"
"6880","MMP13","chr11"
"6881","IL10RA","chr11"
"6882","MSANTD2","chr11"
"6883","PLEKHA5","chr12"
"6884","CFAP94","chr12"
"6885","C12orf54","chr12"
"6886","SARNP","chr12"
"6887","PTPRR","chr12"
"6888","CABP1","chr12"
"6889","PARP4","chr13"
"6890","FOXO1","chr13"
"6891","SNX6","chr14"
"6892","SYT16","chr14"
"6893","ZFYVE1","chr14"
